run_accession	fastq_ftp
SRR15058581	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/081/SRR15058581/SRR15058581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/081/SRR15058581/SRR15058581_2.fastq.gz
SRR15058582	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/082/SRR15058582/SRR15058582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/082/SRR15058582/SRR15058582_2.fastq.gz
SRR15058583	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/083/SRR15058583/SRR15058583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/083/SRR15058583/SRR15058583_2.fastq.gz
SRR15058584	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/084/SRR15058584/SRR15058584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/084/SRR15058584/SRR15058584_2.fastq.gz
SRR15058585	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/085/SRR15058585/SRR15058585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/085/SRR15058585/SRR15058585_2.fastq.gz
SRR15058586	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/086/SRR15058586/SRR15058586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/086/SRR15058586/SRR15058586_2.fastq.gz
SRR15058587	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/087/SRR15058587/SRR15058587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/087/SRR15058587/SRR15058587_2.fastq.gz
SRR15058588	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/088/SRR15058588/SRR15058588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/088/SRR15058588/SRR15058588_2.fastq.gz
SRR15058589	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/089/SRR15058589/SRR15058589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/089/SRR15058589/SRR15058589_2.fastq.gz
SRR15058590	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/090/SRR15058590/SRR15058590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/090/SRR15058590/SRR15058590_2.fastq.gz
SRR15058591	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/091/SRR15058591/SRR15058591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/091/SRR15058591/SRR15058591_2.fastq.gz
SRR15058592	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/092/SRR15058592/SRR15058592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/092/SRR15058592/SRR15058592_2.fastq.gz
SRR15058593	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/093/SRR15058593/SRR15058593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/093/SRR15058593/SRR15058593_2.fastq.gz
SRR15058594	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/094/SRR15058594/SRR15058594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/094/SRR15058594/SRR15058594_2.fastq.gz
SRR15058595	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/095/SRR15058595/SRR15058595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/095/SRR15058595/SRR15058595_2.fastq.gz
SRR15058596	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/096/SRR15058596/SRR15058596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/096/SRR15058596/SRR15058596_2.fastq.gz
SRR15058597	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/097/SRR15058597/SRR15058597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/097/SRR15058597/SRR15058597_2.fastq.gz
SRR15058598	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/098/SRR15058598/SRR15058598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/098/SRR15058598/SRR15058598_2.fastq.gz
SRR15058599	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/099/SRR15058599/SRR15058599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/099/SRR15058599/SRR15058599_2.fastq.gz
SRR15058600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/000/SRR15058600/SRR15058600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/000/SRR15058600/SRR15058600_2.fastq.gz
SRR15058601	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/001/SRR15058601/SRR15058601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/001/SRR15058601/SRR15058601_2.fastq.gz
SRR15058602	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/002/SRR15058602/SRR15058602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/002/SRR15058602/SRR15058602_2.fastq.gz
SRR15058603	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/003/SRR15058603/SRR15058603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/003/SRR15058603/SRR15058603_2.fastq.gz
