baseMean log2FoldChange lfcSE pvalue padj
TRNT 5.02068699681805 0.158651717278472 0.529961535861501 0.649596286695689 0.775319623601883
TRNE 9.2537437994991 -0.395963019325637 0.594227034202382 0.278518145498667 0.444287756066535
TRNL2 3.10841004264106 0.0658324185482291 0.54658338517966 0.842874593847186 0.908984506775937
TRNS2 8.95423621834257 0.848704776343661 0.627663870500762 0.0540057636898918 0.135725256441938
TRNH 16.543879421434 1.18463451624288 0.639333281569544 0.0128630963862407 0.0447221713097956
ND4L 10389.7242026267 -1.52275742128037 0.494536041410934 0.000189285202290349 0.00143685871266375
TRNR 12.4617493582113 0.690956966598368 0.667471812624584 0.105494180076822 0.222595672699496
TRNG 4.80975188535566 0.274600340208684 0.58152926467568 0.437221407153652 0.600335033487824
TRNK 6.22330699591346 0.184383681653571 0.567132195922084 0.589014701833209 0.729618641933119
TRND 3.67294390440573 0.195254357074399 0.547597426306783 0.575115221815738 0.719042032445137
TRNS1 1.57633309145225 0.293630957183487 0.607026457692094 0.395196242019187 0.561973477495998
TRNW 2.97229660660968 0.0853438726497662 0.553981094844009 0.80004537393236 0.881158488952569
TRNM 29.912080062682 0.426663851298733 0.456727814115379 0.232215696366097 0.392447399038003
TRNI 4.10127111906875 0.273948883397538 0.557482896355505 0.446747435456551 0.608750463347738
TRNV 30.3295612828991 0.0487690938457238 0.478839287194626 0.888789374455506 0.935203027595238
TRNF 86.0540855458095 0.0280495003743687 0.561047010670739 0.933568681493152 0.961450843923276
KIR3DL2 2.09516650880178 -3.18722197649869 0.977826842352617 0.661678371118473 0.784057478388197
KIR2DP1 5.39724741209301 -0.663934986420707 0.779136811334021 0.105578467814502 0.22275202309985
KIR2DL1 5.70315673027574 -0.804838526642197 1.00327487555815 0.058532025924213 0.14410215661657
NCR1 3.18008275804593 -0.14419952970529 0.484903090481831 0.674706922531124 0.793870246504653
FCAR 27.0980178796672 -1.33881834143732 0.723965278742719 0.00604455055956775 0.0246586983267905
EPS8L1 16.4168442551098 -0.0383345977073229 0.331296232310107 0.89398112650572 0.938632954935552
NLRP2 2.97162483698518 -0.0876312809392268 0.578070719431884 0.778599949724552 0.866070626889089
NLRP7 1.53619058048601 -0.161939702284473 0.608356970869568 0.584074796179235 0.72615642496171
LILRB4 17.7112674975957 0.637890845894911 0.629021844017167 0.123755734487101 0.250420942924566
LILRB1 122.714737908593 0.743650179969678 0.455814011277053 0.0441704167768498 0.116709409182438
LILRA1 34.5856305464 0.219841204946514 0.469885431731206 0.52923330362101 0.681485578231029
LILRA2 10.8107252122788 -0.275997582779411 0.51279114311238 0.426501917792631 0.590848800886033
KIR3DX1 20.1622408247486 -0.874268451811996 0.565017688595778 0.0316804178694043 0.0906066582235632
LAIR2 1.75726377665997 0.117915680238888 0.590518458451331 0.699475619852854 0.812752378486478
LENG8 103.472438371402 -0.78503710675281 0.346890365872269 0.00908964166928281 0.034138076992589
LENG8.AS1 6.48834209598962 -0.3381924425351 0.685485503493463 0.264972251871617 0.429193403750263
LAIR1 57.6278741555662 0.441776477602879 0.412142175002869 0.190132101131599 0.340050165129167
LILRA4 5.65126345495059 0.0912104101280368 0.507566623784216 0.790266932293415 0.874586763678033
LILRB2 437.136062486772 -0.164023164686913 0.412504693411277 0.613739649343364 0.74819633475546
LILRB5 1.41235730333237 0.280707779856152 0.628006848061047 0.382053989497662 0.549646429593248
LILRA6 51.604783843844 -0.140315192481501 0.412284847558619 0.665085180441711 0.786546154647663
RPS9 113.183090214657 -0.201462843360065 0.42708611493734 0.541926062459887 0.691547255282399
MBOAT7 27.3928776520878 -0.0456424761823456 0.413273842088446 0.88751001036802 0.934528314324744
TMC4 1.53969641061898 -0.266606417483585 0.630127213138891 0.408540025744115 0.574188495198833
