SRR15058638 SRR15058641 SRR15058644 SRR15058645 SRR15058646 SRR15058649 SRR15058619 SRR15058622 SRR15058623 SRR15058624 SRR15058625 SRR15058626 SRR15058627 SRR15058629 SRR15058634 SRR15058636
TRNP 111 76 69 1096 93 65 720 654 1120 970 682 504 702 449 496 414
TRNT 1 0 0 25 4 0 10 7 11 8 9 0 4 6 1 3
CYTB 8884 8388 4753 120064 6559 4444 81534 71409 74041 81248 41199 41734 51559 54667 59783 38792
TRNE 1 0 1 29 2 0 28 20 13 13 25 8 11 18 1 2
ND6 1345 1751 669 38631 2112 571 24324 14327 20300 21472 13446 11333 16302 16014 9689 6689
ND5 11593 11201 5509 133580 9060 4536 90865 56565 79170 81494 47670 42384 59733 63531 56778 35587
TRNL2 0 3 0 11 1 0 8 5 8 2 1 2 6 6 0 0
TRNS2 7 6 4 44 9 1 18 4 12 9 4 2 7 17 3 0
TRNH 21 4 32 32 48 3 24 10 17 15 14 12 6 22 3 0
ND4 8777 8924 2647 175062 7731 4415 151242 123679 133240 157634 75609 75958 100187 87507 100644 64514
ND4L 1509 1295 406 16187 1026 622 20490 17577 19278 22314 10787 10729 14409 13063 18988 11339
TRNR 2 2 1 39 35 0 22 18 10 8 7 6 9 22 2 1
ND3 509 651 154 45018 940 251 20181 13971 18745 21437 11375 11469 16324 15264 11785 8079
TRNG 2 2 0 27 2 0 13 3 4 8 0 6 6 10 0 0
COX3 9631 6050 3777 196749 6051 5794 109259 90515 93937 97558 55869 51778 80338 72558 69071 60804
ATP6 4708 4578 1097 133467 2730 1761 81894 62476 72325 81949 42288 40487 51904 42647 60557 41771
ATP8 129 160 32 18984 292 77 13098 10376 10988 11772 6225 6562 9664 8512 3412 2397
TRNK 0 0 0 40 3 0 13 5 13 15 2 6 8 8 1 0
COX2 3596 3718 958 154268 2756 1560 90985 85473 80190 102589 51493 63858 83609 65771 90500 61143
TRND 0 1 2 18 3 0 6 6 10 3 1 6 3 5 1 0
TRNS1 0 0 0 7 3 0 2 2 2 3 2 1 3 1 0 0
